temporada;jugador;puntos_por_partido;asistencias_por_partido;tapones_por_partido;rebotes_por_partido
06/07;466;10.2;3.7;0.3;2.5
06/07;467;6.7;2.7;0.3;3.2
06/07;468;16.3;2.7;0.2;4.4
06/07;469;16.4;1.8;0.9;6.8
06/07;470;9.2;0.8;0.3;3.3
06/07;471;7.8;0.3;1.1;4.6
06/07;473;6.8;3.3;0;2.1
06/07;481;28.9;3.8;0.3;6
06/07;482;13.2;4.6;0.1;1.7
06/07;483;11.2;3.2;3.3;11.7
06/07;484;3;5.5;0.5;1.5
06/07;485;4.4;0.9;0.1;1.7
06/07;487;6.4;0.4;1.1;4.8
06/07;489;7.6;0.6;0.2;3.4
06/07;490;9.5;0.5;0;10
06/07;491;6.6;0.9;0.3;4.1
06/07;492;12.2;1.2;0.9;7
06/07;493;13;1.4;0.1;2.3
06/07;501;20.9;3;0.3;11.7
06/07;502;4.6;0.4;0.1;1.3
06/07;503;2.5;0.7;0.1;2.1
06/07;505;11.6;1.3;0.1;4.6
06/07;506;9;4;0;3.6
06/07;507;8.3;2.9;2.1;4.7
06/07;508;14.4;1.4;0.3;3.5
06/07;509;2.7;0.7;0.1;0.9
06/07;510;6.8;0.8;0.9;5.2
06/07;511;17.6;2;0.5;7.2
06/07;512;3.3;0.8;0.1;1.2
06/07;513;16.2;9.3;0.2;3.3
06/07;520;7.1;1.3;0.2;1.8
06/07;521;3.8;1.3;0;0.7
06/07;522;7.2;0.3;0.6;3.7
06/07;523;11.4;3;0.3;4.8
06/07;524;4.3;0.8;0.5;8.1
06/07;525;3.2;0.4;0.1;1.5
06/07;526;13.9;1.4;0.7;4.6
06/07;527;3;0.3;0.5;1.8
06/07;528;8.9;2.3;0.6;6
06/07;529;6.7;2.7;0.2;1.6
06/07;530;13.6;2.4;2.6;9.6
06/07;533;12.8;6.9;0.3;3.3
06/07;534;3.9;0.5;0.2;1.8
06/07;541;17;7.2;0.2;3.4
06/07;542;8.9;1.5;0.1;1.5
06/07;543;19.6;3.8;0.2;3.8
06/07;544;7.2;1;0.2;2.6
06/07;545;9.2;0.5;0.2;2.9
06/07;546;4.9;1.8;0.1;0.9
06/07;547;5.9;0.4;1.6;4.6
06/07;548;5;0.2;0.9;2.8
06/07;549;8.1;0.9;0.8;6
06/07;550;14.3;2.8;0.7;5.2
06/07;551;2.5;0;1.5;3.5
06/07;554;12.3;1.7;1.6;7.2
06/07;560;9.6;0.6;0.8;8.1
06/07;561;1.3;0.3;0.1;0.9
06/07;563;5;0.8;0.8;4.8
06/07;564;4.6;0.8;0.3;2.5
06/07;566;2.5;1.1;0.1;2
06/07;567;7;0.6;0.5;4
06/07;568;6.2;0.6;0.6;4.1
06/07;569;11;5.2;0.3;2.3
06/07;570;1.9;0;0.4;1.6
06/07;572;9.4;5.7;0.3;2.4
06/07;573;13.5;1;0.5;7.7
06/07;574;8.8;1.9;0.2;2.8
06/07;580;18.1;4;0.2;2.7
06/07;581;14.7;2.5;0.3;2.7
06/07;582;9.7;4.8;0.5;4.3
06/07;583;10.6;1;0.1;2.1
06/07;584;14.4;3.6;0.9;3.6
06/07;585;2;0;0.3;1
06/07;586;18.6;11.6;0.1;3.5
06/07;587;17.3;2;1.4;7.4
06/07;588;2.5;0.4;0.1;0.8
06/07;589;4.4;0.9;1;5.7
06/07;590;20.4;1;1.3;9.6
06/07;600;7.1;0.7;0.2;2.3
06/07;601;9.8;2.1;0.5;4.6
06/07;603;9.5;1.1;1.7;9.3
06/07;604;3.7;0.7;0.1;2.5
06/07;605;20.1;8.1;0.5;4.4
06/07;606;16.5;4.1;0.3;3.2
06/07;607;15.9;2.2;0.2;6.3
06/07;608;14.1;3.1;0.5;2.6
06/07;609;1.9;0.6;0.5;1.3
06/07;611;11.1;0.7;0.8;4.5
07/08;2;4.1;1.3;0.1;2.2
07/08;3;2.4;0.3;0.4;2
07/08;4;13.1;4.2;0.1;3.3
07/08;5;12.6;1.6;0.1;5.6
07/08;6;8.3;4.1;0.4;3
07/08;7;21;1.4;1.5;11.1
07/08;8;0.5;0.2;0.1;1.9
07/08;9;14.9;2.2;0.2;2.7
07/08;10;1.9;0.3;0.2;2.6
07/08;11;9.4;0.8;0.2;4.6
07/08;12;3.8;0.9;0.1;1.3
07/08;13;9.3;5.9;0.2;2.3
07/08;14;8;1;0.2;3.7
07/08;21;17.5;2;2;6.8
07/08;22;2.5;0.5;0.3;2.1
07/08;23;5.3;2.6;0;1.4
07/08;24;4.3;0.6;0.5;3.7
07/08;25;15.7;1.9;2.8;12.7
07/08;26;4.6;4.4;0.2;1.9
07/08;27;0;0;0;0
07/08;28;22.1;2.7;0.1;5.6
07/08;29;12.8;2.6;0.4;3.6
07/08;30;4.8;1.7;0.3;2.1
07/08;31;5.5;0.7;0.4;5.2
07/08;32;4.1;1.2;0.4;2.3
07/08;33;12.4;2.7;0.5;5.1
07/08;34;12.7;1.2;0.5;4.5
07/08;35;0;0;1;0
07/08;41;1.7;0.2;0.1;1.6
07/08;42;3.1;1.1;0.3;3.7
07/08;43;3.4;0.6;0.1;2.4
07/08;44;2;0.2;0.3;2.1
07/08;45;9.3;4.2;0;2.6
07/08;46;5;1.5;0;2.4
07/08;47;20.4;6.2;1;6.2
07/08;48;2;0.4;0;1.2
07/08;49;9.6;3.6;0.3;3
07/08;51;7.2;0.8;1.6;6.1
07/08;52;16.4;3.4;0.2;6.7
07/08;53;10.9;2.1;0;2.5
07/08;54;11.4;0.7;0.4;4.7
07/08;61;6.5;1.5;0.3;3.5
07/08;62;28.7;5.4;0.5;6.4
07/08;63;7.8;1.1;1.6;5.9
07/08;64;9.1;2.7;0.1;2.2
07/08;65;11.7;2.8;0;2.1
07/08;66;18.9;3.7;1.5;7.9
07/08;67;1.9;0.25;0.6;1.8
07/08;68;1.8;0.5;0.1;0.8
07/08;69;3.6;0.6;0.6;3.3
07/08;70;4.3;0.3;0.2;2.8
07/08;71;14.2;3.5;0.9;10.6
07/08;72;8.4;1.9;0.2;3.3
07/08;73;6.6;1.6;1.4;3.9
07/08;74;8.8;1;0.1;2.1
07/08;75;7.2;2.9;0.2;3.9
07/08;81;10.2;1.2;0.4;3.8
07/08;82;2.7;0.2;0.3;1.7
07/08;84;4.1;0;0.2;1.4
07/08;85;11.6;8.2;0.1;2.9
07/08;86;9;1.8;0.1;4.4
07/08;87;12.1;6.1;0;2
07/08;88;3.1;0.4;0;2.1
07/08;89;3.9;0.3;0;1.7
07/08;90;5.7;0.4;0.4;3.7
07/08;91;3;0.5;0;0.5
07/08;92;7.2;0.8;0;1.5
07/08;93;8.5;1.2;1.4;6.2
07/08;94;7.8;1.2;0.7;4.8
07/08;95;12.5;2.2;0.2;4.1
07/08;100;3.4;0.6;0.5;3.3
07/08;101;7.3;0.9;0.5;3.6
07/08;102;3;1.8;0.2;1.6
07/08;103;20.5;5;0.2;2.6
07/08;104;13.2;0.5;0.5;4.7
07/08;105;2;0;0;1.5
07/08;106;3.7;0.9;0.3;3.3
07/08;107;7.6;2.4;0.3;2.4
07/08;108;10.8;1.2;0.4;8.9
07/08;109;13.9;4.7;0.1;2.5
07/08;110;3.1;0.1;0.1;2.1
07/08;111;17.6;2;0.2;10.3
07/08;112;8.1;1.8;0.2;4.8
07/08;113;12.7;2.9;0;3.1
07/08;114;3.5;0.6;0.1;2.1
07/08;120;1.3;0;0.1;0.8
07/08;121;0.8;0.3;0.6;1.2
07/08;122;5.8;0.5;0.3;2.1
07/08;124;5.2;0.8;0.1;7.5
07/08;125;12.3;1.9;0.3;2.4
07/08;126;0;0;0;0
07/08;127;19.8;4.8;0.6;5.4
07/08;128;17;6.9;0.1;4
07/08;129;1.8;1;0;0.7
07/08;130;8;3;3;11
07/08;131;4.5;0.3;0.7;3
07/08;132;11.5;3.2;0.2;2.1
07/08;133;7.8;0.7;0.1;4.2
07/08;150;0;0;0;0
07/08;151;7.4;2.3;0.1;3.3
07/08;152;10.7;2.5;0.2;2.4
07/08;153;14.1;1.4;1.4;9.3
07/08;154;30;7.2;1.1;7.9
07/08;155;6.5;1.9;0;1.1
07/08;156;1.4;0.2;0.4;2.5
07/08;157;7.4;1.6;0.1;2.5
07/08;158;11.2;0.9;0.6;5.3
07/08;159;1;1.9;0.2;0.9
07/08;160;13.1;1.4;0.1;2.7
07/08;161;6.7;1.1;0.5;8.3
07/08;162;5.1;1.8;1.6;8.8
07/08;163;10.3;4.5;0.7;3.7
07/08;181;5;1.6;0;1.9
07/08;182;5.3;2.6;0;0.9
07/08;183;9;0.9;0.2;2.8
07/08;184;3.2;0.4;0.4;1.6
07/08;185;5.8;1.1;0.1;3.9
07/08;186;14.1;7.2;0.2;2.9
07/08;187;2.1;0.2;0.2;1.9
07/08;188;2.3;0.2;1.8;0.5
07/08;190;3.3;0.3;0.4;3.5
07/08;192;13.8;0.9;1.7;10.7
07/08;193;21.8;3.1;0.7;5.4
07/08;194;19.4;3.5;0.9;6
07/08;201;7.6;3.1;0;2.5
07/08;202;14.2;2.6;1.8;9.8
07/08;203;3.1;0.2;0.6;2.9
07/08;204;5.6;2.1;0.1;1.6
07/08;205;9.7;2.1;0.5;4.3
07/08;206;22.7;3.4;0.2;4.3
07/08;207;2;0.5;0.4;4
07/08;208;8.1;7.5;0.2;3.4
07/08;209;7.6;1.1;0.1;3.2
07/08;210;3.5;0.6;0;2.1
07/08;211;11.7;1;0.5;6.1
07/08;212;2.2;0.3;0.5;2.2
07/08;213;17.2;6.3;0.2;3.5
07/08;214;8.6;0.8;0.9;5.2
07/08;220;2.3;0;0.5;0.3
07/08;222;17;2.5;0.5;6.3
07/08;223;5.8;4;0;1.8
07/08;224;12.65;1.35;0.95;8.8
07/08;225;19;3;0.1;3.1
07/08;226;3.8;0.7;0.2;2.4
07/08;227;12;6;0.3;3.4
07/08;228;12.4;3.2;0.2;3.2
07/08;229;0.7;0;0;0.3
07/08;230;6.6;1.1;0.9;5.6
07/08;231;13.2;1.2;0.5;4.2
07/08;232;6.7;1.9;0.4;3.7
07/08;233;0.6;0;0.7;2.1
07/08;234;6.8;1.2;1;4.6
07/08;240;17.9;3.1;0.2;3.7
07/08;241;6.4;1.5;0.3;2.2
07/08;242;2.3;0.6;0.4;3.9
07/08;243;12.8;4.7;0.1;2.8
07/08;244;4.3;0.4;0.3;2.8
07/08;245;19;3.5;1.2;9.3
07/08;246;7.5;1.9;0.1;2.1
07/08;247;6.9;1.1;1.5;6.1
07/08;248;19.6;4.5;0.4;5.1
07/08;249;1.8;0.1;0.3;1.7
07/08;250;7.4;1.5;0.3;4.4
07/08;251;7.9;0.3;0.3;4.1
07/08;252;2.1;0.9;0;0.5
07/08;253;10.6;5.1;0.2;4.2
07/08;254;1.8;0.8;0.2;1.6
07/08;261;13.7;6.7;0.1;2.9
07/08;262;11.8;1.5;0.6;4.9
07/08;264;10.2;1.5;0.9;9.6
07/08;265;21.7;5.8;0.2;4.5
07/08;266;1;0;0.1;1.2
07/08;267;4.2;1;0;1
07/08;268;5.2;0.6;0.2;4
07/08;269;0;0.3;0;0.3
07/08;270;17.2;3.4;2.8;8.2
07/08;271;5.7;0.8;0.1;0.7
07/08;272;0.9;0.2;0.1;0.8
07/08;273;14.8;1.7;0.4;5.7
07/08;281;6.9;1.8;0;1.8
07/08;282;3.9;0.2;1.2;4.1
07/08;283;9.5;3;1.33;2.1
07/08;284;6.3;0.6;0.2;4.1
07/08;285;8.4;0.6;0.5;3.7
07/08;286;8.7;1.2;2.9;0.2
07/08;287;13.7;3.2;0.2;4.2
07/08;288;12;1.4;0.4;9
07/08;289;4.2;0.3;0.2;2.2
07/08;290;5.2;0.2;1.5;3.5
07/08;291;1.43;2.5;0.9;11.2
07/08;292;6;0.3;1.7;3.7
07/08;293;7.7;2.9;0.1;2
07/08;294;24.6;6.9;0.7;4.2
07/08;295;8.8;4.6;0.1;1.9
07/08;296;7.9;1.4;0.9;5
07/08;300;1.7;0.7;0;1.7
07/08;301;20.5;3.5;0.7;5.7
07/08;302;4.8;0.7;0.2;1.1
07/08;303;12.1;1.6;1.1;3.3
07/08;304;4.3;0.5;0.5;3.1
07/08;305;6.7;4.8;0.2;2.3
07/08;306;23.7;2.1;0.1;4.5
07/08;307;13.4;3.7;1;9.5
07/08;308;8.5;1;0.6;6
07/08;309;12.5;2.6;0.4;4.3
07/08;310;1.4;0.6;0;2.7
07/08;311;12.8;4.3;0.2;3.3
07/08;312;3;0.3;0.3;3
07/08;313;1;0.2;0.2;2.8
07/08;320;1.2;0;0.8;1.8
07/08;321;2.9;0.4;0.5;2.5
07/08;322;2.1;0.5;0.2;1.9
07/08;323;4.9;0.7;0.4;2
07/08;324;11.8;1;1.1;11.8
07/08;325;3.9;0.4;0.3;2.8
07/08;326;6.5;1.6;0.1;1.6
07/08;327;8.1;2.4;0.1;1.6
07/08;328;21.1;11.6;0.1;4
07/08;329;8;0.9;0.1;2.7
07/08;330;16;1.2;0.1;4.3
07/08;331;9.2;1.6;0.5;5.1
07/08;332;20.6;2.3;1.3;8.9
07/08;333;3.9;0.7;0.2;2.1
07/08;340;13.2;5.4;0.2;3.5
07/08;342;5;1.6;0.1;1.1
07/08;343;5.5;3;0.5;2.3
07/08;344;3.7;0.1;0.2;3.1
07/08;345;3;1.1;0.5;5.4
07/08;346;7.7;0.1;1.9;1.8
07/08;347;7.1;1.7;0.1;2.4
07/08;348;8.1;0.5;0.2;4.9
07/08;349;21;5.9;0.4;5.1
07/08;350;3;0.1;1.2;5.1
07/08;351;3.9;0.2;0.1;1
07/08;352;10.3;1.3;0.2;6.4
07/08;353;0.9;0.3;0;0.1
07/08;354;22;2.3;2;10.8
07/08;361;7.3;1.8;0.2;1.9
07/08;362;4.9;0.5;0.2;2.8
07/08;363;6.1;1.1;0.3;2.8
07/08;364;19.3;2.8;2;11.3
07/08;365;10.1;1.5;0.1;3.2
07/08;366;19.8;4.5;0.4;0
07/08;367;2.5;1;0.4;2.4
07/08;368;4.4;1.2;0.2;3
07/08;369;3.5;0.2;0.7;0.8
07/08;370;4.8;1.2;0.2;5.2
07/08;371;18.8;6;0.1;3.2
07/08;372;7.3;3.9;0;2.4
07/08;373;7.5;1.3;1;8.8
07/08;374;5.8;0.9;0.2;3.1
07/08;375;4.1;2.1;0;1
07/08;381;17.7;1.6;1.2;7.6
07/08;382;8.6;5.1;0;5.5
07/08;383;6.8;0.7;0.3;4.5
07/08;384;9.9;3.8;0;2.9
07/08;385;8;0.6;0.3;2.8
07/08;386;1.7;0.2;0.4;1.7
07/08;387;1.5;0.3;0;1.3
07/08;390;6.9;3.8;0.1;1.7
07/08;391;4.8;0.4;1.2;8.4
07/08;392;2.5;1.7;0;0.8
07/08;393;19.1;5.8;0.2;4.7
07/08;394;1.3;0.2;0.1;0.5
07/08;395;10.7;1.2;0.4;3.9
07/08;400;20.9;5.7;0.1;4.1
07/08;401;7.3;1.1;1.4;5.1
07/08;402;20.3;4.9;0.3;6.7
07/08;403;8.6;4.9;0;2.9
07/08;404;10.7;1.7;0.9;7.2
07/08;405;21.4;1.5;0.4;10.2
07/08;406;9.1;1.7;0.2;1.7
07/08;407;1.3;0.6;2;0.4
07/08;408;3.6;0.2;0.1;1.9
07/08;409;6.2;1.7;0.2;3.4
07/08;410;11.2;3.1;0.2;2.9
07/08;412;7.3;0.9;0.1;1.5
07/08;420;7;3.4;0;1.8
07/08;421;1.3;0.1;0.1;1
07/08;422;6.7;0.7;0.9;5.6
07/08;423;8.9;1.2;0.1;3.2
07/08;424;4;0.5;0.25;2
07/08;425;8.1;1.8;0.1;1.4
07/08;426;4.4;1.7;0.1;1.3
07/08;427;1.8;0.2;0.5;2.5
07/08;428;2.2;0.4;0;1.3
07/08;429;1.2;0;0;1
07/08;430;20.9;1.4;2.2;14.3
07/08;431;18.2;2.4;0.5;5.4
07/08;432;10.9;5.6;0.1;3.5
07/08;434;19.5;5;0.3;5.7
07/08;440;3.4;0.6;0.4;2.9
07/08;441;4.3;1.3;0;1.1
07/08;442;8.1;0.7;0.6;4.3
07/08;443;6.1;0.9;1.5;7.6
07/08;444;19.9;2.2;0.4;7.1
07/08;445;1.2;1.6;0;1.2
07/08;446;3.7;1.5;0.2;2.8
07/08;447;9.9;9.5;0.4;6.5
07/08;448;11.4;1.8;0.1;1
07/08;449;1.7;0;0;1.1
07/08;450;23.6;3.5;0.9;8.6
07/08;451;10.7;2.5;0.2;2.3
07/08;452;15.5;3.2;0.2;2.5
07/08;453;7.3;1.6;0.4;3
07/08;454;3.6;0.6;0.2;2.6
07/08;461;6.9;1.8;0;1.8
07/08;462;2.4;1.4;0;1.3
07/08;463;8.2;0.8;0.9;7.3
07/08;464;21.5;5.1;0.4;6
07/08;465;3;0.5;1.2;5.2
07/08;466;16.1;6.6;0.3;3.4
07/08;467;2;0.5;0.1;1.5
07/08;468;22.6;3.1;0.3;4.2
07/08;469;6.5;0.6;0.4;4.3
07/08;470;9.8;1.2;0.3;3.5
07/08;471;6.8;0.6;1;3.7
07/08;473;5.9;2.6;0.1;1.9
07/08;474;5.6;0.4;1.5;4.4
07/08;481;26.1;3.4;0.5;7.4
07/08;482;4.4;1.9;0.1;1.2
07/08;483;9.3;3.3;3.3;13.3
07/08;484;7.8;5.5;0.4;2.9
07/08;485;2.8;0.7;0.1;1.1
07/08;486;1.6;0.65;0;0.6
07/08;487;1.8;0;0.3;1.3
07/08;489;11.1;1.2;0.2;4.2
07/08;490;12.4;1.3;1.2;6.5
07/08;491;5.9;1.2;0.5;4.3
07/08;492;5.3;0.9;0.9;5.4
07/08;493;12.3;1.7;0.2;2.1
07/08;500;1.4;0.3;0;0.2
07/08;501;21.4;2.8;0.5;10.5
07/08;502;12;1.8;0.2;0.2
07/08;503;1.7;0.5;0.1;1.7
07/08;504;1.6;0.2;0.3;2.8
07/08;505;8.2;1.1;0.2;3.1
07/08;506;2.8;1.5;0.1;1
07/08;507;11;4;1.5;4.7
07/08;508;9.9;1.4;0.5;2
07/08;509;5;0.9;0.1;1.3
07/08;510;8.1;1;0.9;5.6
07/08;511;14.5;2;0.4;7.7
07/08;512;3.7;1.3;0.1;0.8
07/08;513;18.8;10.5;0.3;3
07/08;520;8.2;1.9;0.2;2.9
07/08;521;6.9;3.8;0.1;1.7
07/08;522;5.6;0.3;0.1;2.8
07/08;523;19.1;3.5;0.4;5.2
07/08;524;6.4;1.7;0.4;8.7
07/08;525;4;0.4;0;1
07/08;526;18.9;2.1;1;6
07/08;527;4;0.3;1.1;2.2
07/08;528;12.2;2.2;0.4;7.2
07/08;529;7.5;3.4;0.1;1.9
07/08;530;14.3;2.2;2.1;6.7
07/08;531;4;1.5;0.1;1.5
07/08;532;8.3;1.3;0.3;2.4
07/08;533;11.9;8.4;0.3;3.6
07/08;534;6.7;0.9;0.4;2.7
07/08;540;3.5;0.7;0.1;1.7
07/08;541;17.2;6.9;0.2;2.8
07/08;542;4.3;1.8;0.1;1.3
07/08;543;17.7;4.1;0.2;3.3
07/08;544;6.7;0.7;0.1;2.1
07/08;545;2.7;0.5;0;1.2
07/08;546;2.4;1.4;0.1;0.5
07/08;547;3.6;0.5;1.3;3.8
07/08;548;7.9;0.6;1.1;5.3
07/08;549;8.8;1.1;0.7;8.5
07/08;550;13.2;3.3;0.4;4.9
07/08;551;6.3;0.7;1.9;3.9
07/08;552;1.8;0;0.5;1.8
07/08;553;7.6;2.8;0.1;2.3
07/08;554;12.7;1.8;1.7;6.6
07/08;560;9.6;0.6;0.8;9.3
07/08;561;0;0;0;0
07/08;562;20.3;2.4;0.9;4.4
07/08;563;3.5;0.4;0.3;3.3
07/08;564;4.3;0.8;0.2;1.5
07/08;565;10.3;1.5;0.6;4.7
07/08;566;1.7;0.7;0.1;1.7
07/08;567;3.8;0.3;0.5;3.1
07/08;568;6;0.4;0.6;5.1
07/08;569;6.4;4;0.2;1.5
07/08;570;2.3;0.1;0.5;1.2
07/08;571;1.8;0.1;0.8;2.3
07/08;572;10.7;6.8;0.1;2.9
07/08;573;13.4;1.2;0.6;7
07/08;574;9.2;2;0.2;3.2
07/08;580;15.8;2.7;0.2;2.4
07/08;581;12;2.3;0.4;3.7
07/08;582;8.8;3.9;0.5;4.6
07/08;583;5.33;1.06;0.1;1.46
07/08;584;13.1;2.9;0.9;5
07/08;585;2;0;0.3;1
07/08;586;16.9;11.1;0.1;3.5
07/08;587;13.55;1.8;1.4;11.05
07/08;588;2.4;0.6;0.1;0.8
07/08;589;3.3;0.2;1.2;3.6
07/08;590;25;1.5;2.1;9.1
07/08;591;2.2;0.7;0.2;0.7
07/08;592;3.7;0;0.2;1.3
07/08;600;8.6;0.9;0.4;4
07/08;601;6.8;2;1.21;4.5
07/08;602;2.4;0.4;0;0.4
07/08;603;10.3;1;1.2;9.5
07/08;604;3.9;0.7;0.1;1.6
07/08;605;22;7.6;0.5;4.7
07/08;606;20.1;3.8;0.3;4.9
07/08;607;15.3;1.6;0.2;5.4
07/08;608;20.1;4.1;0.4;4.4
07/08;609;1.5;0.2;0.4;1.2
07/08;610;1.4;0.1;0.3;1.9
07/08;611;7.2;1;0.6;3.7
07/08;612;3.7;1.1;0;1
07/08;613;4;0.2;0.6;2.6
5.6;1;5.6;1.4;0.3;3.6
91/92;350;16.6;2.2;3;12.3
92/93;292;21;1;3.5;10.3
92/93;350;13.8;1.8;3.5;13
92/93;367;10.1;2.4;1;5
92/93;587;23.4;1.9;3.5;13.9
93/94;242;5.7;1.2;1.2;6.2
93/94;243;6.7;2.9;0.1;2
93/94;292;21.5;1.4;3.1;10.2
93/94;350;12;1.5;4.1;11.8
93/94;367;9.9;2.9;0.9;5.4
93/94;546;10.3;4.8;0.1;2.3
93/94;587;29.3;2.4;2.8;13.2
94/95;50;6.5;2;0.4;2.9
94/95;242;8.1;1.7;1.7;6.1
94/95;243;9.5;4.9;0.2;2.6
94/95;292;21.3;1.4;2.9;9.9
94/95;350;11.5;1.4;3.9;12.5
94/95;367;10.2;3.4;1.2;5.1
94/95;445;17.1;2.5;0.2;8.4
94/95;446;14;2;0.6;3.9
94/95;447;11.7;7.7;0.3;5.4
94/95;462;3.3;1;0;0.3
94/95;546;7.5;3.8;0.2;1.8
94/95;567;14.8;1.5;1.2;6.5
94/95;584;19.9;5;0.9;6.4
94/95;587;29.3;2.7;2.4;11.4
94/95;588;7;1;0.2;1.6
95/96;50;10.7;2.5;0.3;3.8
95/96;158;15.3;1;1.6;8.7
95/96;159;2.7;1.7;0;1
95/96;242;11.3;2;1.2;6.9
95/96;243;14.5;4.6;0.1;3.1
95/96;245;10.4;1.8;1.6;6.3
95/96;292;23.2;2.3;2.7;10.4
95/96;350;11;1.5;4.5;11.8
95/96;361;10.1;2.9;0.3;2.1
95/96;365;15;3.5;0.4;4.6
95/96;367;12;4;1.5;5.8
95/96;372;19;9.3;0.3;4
95/96;373;9;0.6;0.5;5.9
95/96;445;22.1;4.4;0.5;8.1
95/96;446;12.8;3.5;0.6;3.3
95/96;447;16.6;9.7;0.3;6.8
95/96;451;19.2;3.9;1.1;3.7
95/96;462;3.2;0.4;0;0.2
95/96;546;8.5;2.4;0.2;2.4
95/96;549;13.4;1;1.5;7.5
95/96;551;4.5;0.2;1.5;4
95/96;554;10.1;1.3;0.8;4.7
95/96;567;5.5;0.8;0.5;3.4
95/96;584;20.2;6.9;0.6;9.8
95/96;587;26.6;2.9;2.1;11
95/96;588;4.6;0.7;0.2;1.6
96/97;14;17.5;3.2;0.6;9
96/97;50;4.1;2;0.4;2.3
96/97;62;7.6;1.3;0.3;1.9
96/97;65;3.9;1.5;0.1;1.2
96/97;109;15.8;7.8;0.3;2.7
96/97;114;3;0.6;0.3;3
96/97;158;18.7;1.6;1.1;8.5
96/97;159;3;2.4;0;1
96/97;162;1.1;0.1;0.3;1.7
96/97;187;4.8;0.3;0.4;3.5
96/97;240;13.4;2.6;0.1;4
96/97;242;9.5;1.2;1.2;8.4
96/97;243;14.8;4.5;0.3;2.3
96/97;245;17;3.1;2.1;8
96/97;292;19.8;1.6;2.9;9.9
96/97;300;18.7;2.2;1;6.9
96/97;313;7.3;0.6;0.8;6.1
96/97;350;13.3;1.4;3.3;11.6
96/97;361;7.5;2.6;0.2;1.9
96/97;363;0;0;0;0
96/97;365;13;2.5;0.2;4.4
96/97;367;6.9;1.7;0.8;3.7
96/97;372;20.2;8.8;0.2;4.1
96/97;373;6.3;0.5;0.5;5.9
96/97;443;5.1;0.6;1;4.1
96/97;445;19.1;3.8;0.3;8
96/97;446;17.2;3.4;0.6;4.1
96/97;447;11.6;9.1;0.4;4.8
96/97;451;20.7;3.1;0.8;4.2
96/97;462;6.1;2.6;0.1;1.1
96/97;483;14.8;1.5;2.1;6.3
96/97;530;4.1;0.2;0.6;2.8
96/97;546;14.2;1.9;0.3;2.8
96/97;549;18.3;1.4;1.7;7.3
96/97;551;5.8;0.2;1.5;3.4
96/97;554;15.1;1.2;0.9;6.8
96/97;567;7.3;0.9;0.8;4.5
96/97;584;21.4;7.3;0.6;9
96/97;586;3.3;2.1;0;1
96/97;587;26.2;3.1;2.9;1.5
96/97;588;6;0.8;0.2;1.6
97/98;14;22.4;3.3;0.7;10.2
97/98;26;9;8.2;0.2;3.2
97/98;33;11;1.2;0.2;3.7
97/98;50;4.5;1.6;0;2.8
97/98;62;15.4;2.5;0.5;3.1
97/98;65;5.8;4.1;0.1;2.4
97/98;95;1.9;0.5;0.1;0.7
97/98;109;17.7;8.6;0.1;2.8
97/98;114;3;0.4;0.1;1.7
97/98;129;3.5;1.85;0;1.1
97/98;153;13.9;0.9;1.6;8.8
97/98;158;17.3;1.4;0.8;6.9
97/98;159;1.5;0.8;0.1;0.2
97/98;162;3.1;0.3;1.1;4.8
97/98;181;11.7;3.4;0.2;2.8
97/98;187;6;0.4;0.5;3.6
97/98;240;19.5;4.3;0.2;4.9
97/98;242;9.6;1.4;1.3;8.6
97/98;243;19.6;8;0.3;3
97/98;245;18.5;4.2;1.8;9.6
97/98;249;2.7;0.3;0.3;2.2
97/98;292;19.2;0.9;2.2;9.6
97/98;300;22.3;2.6;0.9;7.1
97/98;305;7.5;4.3;0.1;2.2
97/98;313;9;0.8;1.3;8.8
97/98;347;11.6;4.7;0.2;4.4
97/98;349;7;1.5;0.9;4.2
97/98;350;13.4;1;3.4;11.4
97/98;361;4.1;1.2;0.2;1.6
97/98;363;5.6;1.3;0.5;2.9
97/98;364;21.1;2.7;2.5;11.9
97/98;367;7.4;2.3;1.3;7.5
97/98;372;19.4;8.1;0.1;4.4
97/98;373;7.4;0.6;0;4.8
97/98;375;3.1;1.9;0;0.8
97/98;403;7.8;4.5;0.1;1.9
97/98;427;3;0.3;0.9;3.3
97/98;443;11.8;1.1;1.7;8.7
97/98;445;18.5;3.3;0.4;7
97/98;446;16.9;3.1;0.7;3.8
97/98;447;11.6;9.1;0.3;6.2
97/98;451;16;3;0.9;3.5
97/98;462;9.2;4.9;0.1;3.3
97/98;472;19.7;1.7;0.4;6.6
97/98;483;12.1;1.8;3.7;7.4
97/98;530;4.5;0.3;1;3.4
97/98;541;11.3;3.3;0.1;2.7
97/98;546;12.1;3.2;0.1;3.5
97/98;549;15.1;1.3;1.7;7.6
97/98;551;6.5;0.6;2.3;5
97/98;554;14.6;2.5;1.1;6.2
97/98;567;15.4;2.2;1;8.6
97/98;584;21.1;6.8;0.6;7.7
97/98;586;9.1;3.4;0.1;2.1
97/98;587;28.3;2.4;2.4;11
97/98;588;11.3;1.3;0.2;3.5
97/98;604;2.9;0.3;0.2;1.7
98/99;3;6.2;0.4;0.3;3
98/99;14;18.7;3.1;0.7;8.5
98/99;26;9.6;7.7;0.2;3.4
98/99;29;9.9;2.5;0.5;2.3
98/99;33;4.6;0.9;0.2;1.9
98/99;50;4.8;2;0.1;2.8
